DATETIME,IDENTIFIER,INFO,FILE,USER,LAB,VERSION,TAG1,TAG2,TAG3
"2015-01-31 02:56:47",reports,X,reports,53,127,2.9,X,X,X
"2015-01-31 02:56:51",catalog,X,catalog,53,127,2.9,X,X,X
"2015-01-31 02:56:52",reports,X,reports,53,127,2.9,X,X,X
"2015-01-31 02:57:53",reports,X,reports,53,127,2.9,X,X,X
"2015-01-31 03:01:23",reports,X,reports,53,127,2.9,X,X,X
"2015-01-31 03:24:30",reports,X,reports,53,127,2.9,X,X,X
"2015-01-31 03:24:38",catalog,X,catalog,53,127,2.9,X,X,X
"2015-01-31 03:24:49",find_patient,X,find_patient,53,127,2.9,X,X,X
"2015-01-31 03:24:58",search_p,op=1&qr=ali,search_p,53,127,2.9,X,X,X
"2015-01-31 03:25:50",new_specimen,pid=891&dnum=,new_specimen.php?pid=891&dnum=,53,127,2.9,X,X,X
